                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.885,                 1.7838,                 1.2302,                0.77436,                0.14701,                0.15531,                0.08045,                 1.8843,                 1.9042,                 1.2772,                 0.0702,              0.0033111,              0.0033111
                      2,                 1.9277,                 1.8162,                 1.2619,                0.76321,                 0.1756,                0.17892,                0.09099,                 1.8273,                  1.712,                 1.2743,               0.040134,              0.0065787,              0.0065787
                      3,                 1.9038,                  1.806,                 1.2506,                0.22432,                 0.1412,                0.13547,                0.06618,                 1.9691,                 2.0594,                 1.3337,               0.010002,              0.0097802,              0.0097802
                      4,                 1.7961,                 1.7235,                 1.1996,                 0.2569,                0.17707,                0.18186,                0.08743,                 1.7415,                 1.7296,                 1.2267,               0.009703,               0.009703,               0.009703
                      5,                   1.76,                 1.6435,                 1.1937,                0.76724,                0.17962,                0.18848,                0.10455,                 1.7125,                 1.6537,                  1.225,               0.009604,               0.009604,               0.009604
                      6,                 1.7557,                 1.6691,                  1.196,                0.77455,                 0.1975,                0.20354,                0.10959,                 1.6204,                 2.0035,                 1.1833,               0.009505,               0.009505,               0.009505
                      7,                 1.7296,                 1.6489,                 1.1896,                 0.7793,                0.19848,                 0.2086,                0.10873,                  1.712,                 1.5291,                 1.2311,               0.009406,               0.009406,               0.009406
                      8,                 1.6967,                 1.5781,                 1.1805,                0.76889,                0.20777,                0.20484,                0.11115,                 1.6484,                 1.6112,                 1.2135,               0.009307,               0.009307,               0.009307
                      9,                 1.6562,                 1.5613,                 1.1468,                0.78434,                0.21739,                0.23021,                0.13123,                 1.5517,                 1.6059,                 1.1567,               0.009208,               0.009208,               0.009208
                     10,                 1.6088,                 1.5255,                 1.1463,                0.80064,                0.21046,                0.22792,                0.12576,                 1.7194,                 1.4907,                 1.2123,               0.009109,               0.009109,               0.009109
                     11,                 1.6433,                 1.5384,                 1.1406,                0.82308,                0.20398,                0.22595,                0.12899,                 1.5533,                 1.5854,                  1.144,                0.00901,                0.00901,                0.00901
                     12,                 1.6115,                  1.497,                 1.1375,                0.81656,                0.21626,                0.26198,                0.14137,                 1.5799,                 1.5191,                  1.151,               0.008911,               0.008911,               0.008911
                     13,                 1.5369,                 1.4522,                 1.1114,                0.81901,                0.21626,                0.24586,                0.14248,                 1.5395,                 1.4195,                 1.1338,               0.008812,               0.008812,               0.008812
                     14,                 1.5568,                 1.4889,                 1.1159,                0.82257,                0.22699,                0.24505,                0.14211,                 1.5012,                 1.4429,                 1.1346,               0.008713,               0.008713,               0.008713
                     15,                 1.5153,                 1.4392,                 1.1129,                0.81753,                0.23414,                0.25238,                0.14284,                 1.5255,                 1.3792,                  1.138,               0.008614,               0.008614,               0.008614
                     16,                 1.5371,                 1.4159,                 1.1104,                0.82671,                 0.2283,                0.25891,                0.15987,                 1.4553,                 1.3458,                 1.1118,               0.008515,               0.008515,               0.008515
                     17,                 1.5121,                 1.4008,                 1.1083,                0.80402,                0.23012,                0.25191,                0.14494,                 1.5944,                 1.4179,                 1.1476,               0.008416,               0.008416,               0.008416
                     18,                 1.5518,                  1.486,                  1.119,                0.83075,                 0.2314,                0.25664,                0.14817,                 1.4775,                  1.381,                 1.1174,               0.008317,               0.008317,               0.008317
                     19,                 1.4848,                  1.411,                 1.0966,                0.81033,                0.24419,                0.25746,                0.15169,                 1.4268,                 1.3114,                  1.107,               0.008218,               0.008218,               0.008218
                     20,                 1.4397,                 1.3872,                  1.085,                0.85708,                0.22252,                0.27467,                0.15967,                 1.4169,                 1.3101,                 1.0948,               0.008119,               0.008119,               0.008119
                     21,                 1.4476,                 1.3618,                 1.0907,                0.82355,                0.23269,                0.27072,                 0.1649,                 1.4371,                 1.3599,                  1.114,                0.00802,                0.00802,                0.00802
                     22,                 1.4654,                 1.3733,                 1.0858,                0.82715,                0.23087,                0.26009,                0.14946,                 1.4916,                  1.413,                 1.1098,               0.007921,               0.007921,               0.007921
                     23,                 1.4216,                 1.3236,                 1.0663,                0.84697,                0.23861,                0.26537,                0.16069,                 1.3987,                 1.3266,                 1.0903,               0.007822,               0.007822,               0.007822
                     24,                 1.4127,                 1.3125,                 1.0719,                0.83384,                0.24218,                 0.2641,                0.16259,                 1.3935,                 1.3122,                 1.0889,               0.007723,               0.007723,               0.007723
                     25,                 1.4169,                 1.3301,                 1.0826,                0.81243,                0.24799,                0.26178,                0.15706,                 1.4403,                 1.4398,                 1.0993,               0.007624,               0.007624,               0.007624
                     26,                 1.4078,                  1.301,                 1.0721,                 0.8143,                0.24576,                0.26821,                0.16213,                 1.3895,                 1.2752,                 1.0901,               0.007525,               0.007525,               0.007525
                     27,                 1.4019,                  1.327,                 1.0709,                0.84292,                0.23816,                0.26568,                0.16474,                  1.359,                 1.2426,                 1.0783,               0.007426,               0.007426,               0.007426
                     28,                 1.4199,                 1.3095,                 1.0746,                 0.8438,                0.24293,                0.26434,                0.15427,                 1.5134,                 1.3002,                  1.105,               0.007327,               0.007327,               0.007327
                     29,                 1.3744,                 1.2825,                 1.0639,                0.83013,                0.23324,                 0.2757,                0.17185,                 1.4224,                 1.3127,                 1.1034,               0.007228,               0.007228,               0.007228
                     30,                 1.3549,                 1.2892,                 1.0628,                 0.8532,                0.23414,                0.26626,                0.16422,                 1.3436,                 1.2366,                 1.0752,               0.007129,               0.007129,               0.007129
                     31,                 1.3758,                 1.2748,                 1.0665,                0.87126,                0.22807,                0.28108,                0.17782,                 1.3362,                 1.2471,                 1.0791,                0.00703,                0.00703,                0.00703
                     32,                 1.3836,                 1.3032,                 1.0766,                0.85547,                0.24754,                0.27813,                0.17348,                 1.3286,                 1.2132,                 1.0787,               0.006931,               0.006931,               0.006931
                     33,                 1.3449,                  1.283,                 1.0608,                0.84539,                0.24084,                0.27695,                0.17398,                 1.3461,                 1.2525,                 1.0793,               0.006832,               0.006832,               0.006832
                     34,                 1.3522,                 1.2567,                 1.0756,                0.82893,                0.25737,                0.26661,                0.16559,                 1.3314,                 1.3887,                 1.0687,               0.006733,               0.006733,               0.006733
                     35,                 1.3366,                 1.2437,                 1.0532,                0.87256,                0.24397,                0.28415,                0.17323,                  1.346,                 1.1753,                 1.0743,               0.006634,               0.006634,               0.006634
                     36,                  1.317,                 1.2269,                 1.0538,                0.84859,                0.25469,                0.28719,                0.17797,                  1.331,                 1.2357,                 1.0741,               0.006535,               0.006535,               0.006535
                     37,                 1.3119,                 1.2203,                  1.059,                0.84898,                0.24781,                0.27609,                0.17107,                 1.3317,                 1.3951,                 1.0753,               0.006436,               0.006436,               0.006436
                     38,                 1.3314,                 1.2368,                 1.0422,                0.83859,                 0.2471,                0.28038,                0.17722,                 1.3356,                 1.1847,                 1.0749,               0.006337,               0.006337,               0.006337
                     39,                 1.3241,                 1.2297,                 1.0432,                0.84313,                0.24665,                0.28592,                0.17444,                 1.3601,                 1.2129,                 1.0793,               0.006238,               0.006238,               0.006238
                     40,                 1.2919,                 1.1913,                  1.042,                0.85885,                0.25737,                0.28806,                 0.1759,                 1.3325,                 1.1575,                  1.068,               0.006139,               0.006139,               0.006139
                     41,                 1.2896,                 1.1876,                  1.029,                0.86313,                0.25603,                0.28876,                0.18371,                  1.264,                 1.1554,                 1.0531,                0.00604,                0.00604,                0.00604
                     42,                 1.3023,                 1.2037,                 1.0369,                0.84579,                0.26184,                0.29208,                0.18638,                 1.2852,                 1.1285,                 1.0612,               0.005941,               0.005941,               0.005941
                     43,                 1.2902,                 1.1877,                 1.0392,                0.84736,                 0.2603,                0.29068,                0.18897,                  1.283,                 1.1565,                 1.0548,               0.005842,               0.005842,               0.005842
                     44,                 1.2888,                 1.2029,                 1.0329,                0.86738,                0.25623,                 0.2934,                0.18397,                 1.2816,                 1.1561,                 1.0521,               0.005743,               0.005743,               0.005743
                     45,                 1.2873,                 1.1878,                 1.0243,                0.85411,                0.26354,                 0.2998,                0.19408,                 1.3018,                 1.1184,                  1.068,               0.005644,               0.005644,               0.005644
                     46,                 1.2433,                 1.1641,                 1.0209,                0.87725,                0.25648,                  0.298,                0.18903,                 1.2863,                 1.1036,                 1.0595,               0.005545,               0.005545,               0.005545
                     47,                 1.2632,                 1.1663,                 1.0434,                0.85035,                0.26408,                0.29786,                0.19256,                  1.259,                 1.1153,                 1.0561,               0.005446,               0.005446,               0.005446
                     48,                 1.2353,                 1.1476,                  1.021,                0.88467,                0.24665,                0.29096,                0.18462,                 1.2701,                 1.1349,                 1.0588,               0.005347,               0.005347,               0.005347
