                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9393,                 3.4703,                 2.4162,                0.54287,                0.04424,                0.01208,                0.00325,                 3.2331,                 4.3288,                 2.1035,                 0.0702,              0.0033111,              0.0033111
                      2,                 2.8574,                 2.5967,                 1.7303,                0.63089,                0.10125,                0.06893,                0.02548,                 2.6439,                 3.6042,                 1.6738,               0.039542,              0.0059866,              0.0059866
                      3,                 2.5118,                 2.2329,                 1.5493,                0.63107,                0.11255,                0.11461,                0.04691,                 2.3156,                 4.2211,                 1.4915,              0.0082244,              0.0080022,              0.0080022
                      4,                 2.2571,                 2.0187,                 1.4557,                 0.2207,                0.12645,                0.11425,                0.04537,                 2.1619,                 1.9942,                 1.4237,                0.00703,                0.00703,                0.00703
                      5,                  2.072,                 1.8994,                 1.3722,                0.74892,                0.14656,                0.15105,                0.07092,                 1.9985,                  1.833,                 1.3139,                0.00604,                0.00604,                0.00604
                      6,                 1.9496,                 1.7456,                 1.3076,                0.74425,                0.16345,                 0.1693,                0.08145,                 1.8719,                 1.7616,                 1.2721,                0.00505,                0.00505,                0.00505
                      7,                 1.8903,                 1.6885,                 1.2839,                0.72665,                0.15952,                0.15872,                0.07875,                  1.802,                 1.7904,                 1.2426,                0.00406,                0.00406,                0.00406
                      8,                 1.7797,                  1.609,                 1.2428,                0.77035,                0.17674,                0.18854,                0.09674,                  1.781,                 1.6113,                 1.2256,                0.00307,                0.00307,                0.00307
                      9,                 1.7112,                 1.5236,                 1.2171,                0.78999,                0.16413,                0.18705,                0.10017,                 1.7162,                 1.5682,                 1.2336,                0.00208,                0.00208,                0.00208
                     10,                 1.6675,                 1.5183,                 1.1846,                0.75614,                0.19839,                0.20276,                 0.1157,                 1.5797,                 1.4581,                  1.169,                0.00109,                0.00109,                0.00109
