                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72519,                0.47769,                0.85342,                0.61858,                0.45027,                0.49919,                0.30161,                 1.4698,                 1.4318,                 1.0828,                 0.0874,                 0.0014,                 0.0014
                      2,                0.64576,                0.41502,                0.83719,                0.76634,                0.46714,                0.56994,                0.38218,                 1.2376,                 1.4808,                 1.0401,                0.07389,              0.0028904,              0.0028904
                      3,                0.58937,                0.36981,                0.83225,                0.69467,                0.55767,                0.58904,                0.39053,                 1.1707,                 1.1543,                 1.0309,               0.060371,               0.004371,               0.004371
                      4,                0.60062,                0.36766,                0.83509,                0.72842,                0.52664,                 0.5785,                0.35703,                 1.3255,                  1.272,                 1.0723,               0.046842,              0.0058416,              0.0058416
                      5,                0.63066,                0.38446,                0.83756,                0.70718,                0.53192,                0.59327,                0.38373,                 1.2323,                 1.2198,                 1.0381,               0.033302,              0.0073023,              0.0073023
                      6,                0.64757,                0.39517,                0.84089,                0.70021,                0.46536,                0.51835,                0.31456,                 1.3565,                 1.3234,                  1.068,               0.019753,              0.0087532,              0.0087532
                      7,                0.67937,                0.42078,                 0.8458,                0.71197,                0.49645,                0.53777,                0.33337,                 1.3471,                 1.3047,                 1.0677,               0.009802,               0.009802,               0.009802
                      8,                 0.7004,                0.43101,                0.85116,                 0.6876,                0.52575,                0.57498,                0.36116,                 1.2371,                 1.0851,                 1.0369,               0.009769,               0.009769,               0.009769
                      9,                0.69077,                0.42619,                0.84952,                 0.6934,                0.51218,                0.54589,                0.33395,                 1.3597,                  1.308,                 1.0845,               0.009736,               0.009736,               0.009736
                     10,                0.68409,                0.42592,                 0.8489,                0.69143,                0.49023,                0.54367,                0.32562,                 1.3826,                 1.2612,                 1.0779,               0.009703,               0.009703,               0.009703
                     11,                0.70323,                0.43826,                0.85353,                0.74279,                0.49112,                0.55977,                0.36398,                 1.2142,                  1.182,                 1.0262,                0.00967,                0.00967,                0.00967
                     12,                 0.6953,                 0.4289,                0.85135,                0.76046,                0.51155,                0.58701,                0.36961,                  1.246,                 1.0482,                 1.0376,               0.009637,               0.009637,               0.009637
                     13,                 0.7233,                0.43448,                0.85457,                0.72452,                0.54889,                0.58265,                0.35387,                 1.3303,                 1.0757,                 1.0653,               0.009604,               0.009604,               0.009604
                     14,                0.69391,                0.41861,                0.84755,                0.73222,                0.51482,                0.57627,                0.35848,                  1.285,                 1.2134,                 1.0421,               0.009571,               0.009571,               0.009571
                     15,                0.68854,                0.41817,                0.84768,                0.69465,                0.56571,                0.61074,                0.39314,                 1.2046,                 1.0387,                 1.0288,               0.009538,               0.009538,               0.009538
                     16,                0.66582,                 0.4112,                0.84637,                0.71489,                0.53667,                0.59307,                0.38079,                 1.2133,                 1.1404,                 1.0343,               0.009505,               0.009505,               0.009505
                     17,                0.68795,                0.42438,                0.84772,                0.68005,                0.55062,                 0.5741,                0.35012,                 1.2983,                 1.1496,                 1.0531,               0.009472,               0.009472,               0.009472
                     18,                0.67702,                0.42101,                0.84563,                0.77091,                0.51599,                0.58622,                0.37094,                 1.2393,                 1.0995,                 1.0333,               0.009439,               0.009439,               0.009439
                     19,                0.68645,                0.41941,                0.85083,                0.69195,                0.58259,                0.60497,                0.38587,                 1.2092,                 1.0263,                 1.0256,               0.009406,               0.009406,               0.009406
