                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52172,                0.31515,                0.81681,                0.73507,                0.57549,                0.63147,                0.38919,                 1.2166,                  1.102,                 1.0266,                 0.0928,                 0.0008,                 0.0008
                      2,                0.70003,                0.45307,                0.82942,                 0.7355,                0.53552,                0.58541,                0.35149,                 1.3335,                 1.1643,                 1.0843,               0.084694,              0.0016944,              0.0016944
                      3,                0.54296,                0.34526,                0.82293,                 0.7625,                 0.5675,                0.62997,                0.39991,                 1.1971,                   1.12,                 1.0366,               0.076583,              0.0025828,              0.0025828
                      4,                0.49026,                0.32055,                0.81554,                0.74053,                0.58298,                0.63159,                0.40669,                 1.1833,                 1.0767,                 1.0376,               0.068465,              0.0034654,              0.0034654
                      5,                0.48494,                0.30461,                0.81497,                0.75644,                0.56483,                0.62394,                0.39964,                 1.1738,                 1.0367,                 1.0384,               0.060342,              0.0043419,              0.0043419
                      6,                0.49778,                 0.2995,                0.81666,                0.77103,                0.55151,                0.62675,                 0.4116,                 1.1367,                 1.0028,                 1.0254,               0.052213,              0.0052126,              0.0052126
                      7,                0.49205,                0.29911,                0.81525,                0.73174,                0.56394,                0.62451,                0.41591,                 1.1252,                 1.0798,                 1.0168,               0.044077,              0.0060772,              0.0060772
                      8,                0.48632,                0.29419,                0.81282,                0.75898,                0.56927,                0.63115,                0.40886,                 1.1574,                 1.0471,                 1.0332,               0.035936,               0.006936,               0.006936
                      9,                0.48975,                0.29458,                0.81554,                0.76505,                0.57016,                0.62944,                0.41727,                 1.1135,                0.98996,                 1.0184,               0.027789,              0.0077888,              0.0077888
                     10,                0.48928,                 0.2907,                0.81667,                0.74923,                0.54926,                0.61999,                0.40703,                 1.1484,                0.96482,                  1.017,               0.019636,              0.0086357,              0.0086357
                     11,                0.51316,                0.30209,                0.81891,                0.73852,                0.56306,                0.61729,                0.39309,                 1.2095,                 1.0388,                 1.0316,               0.011477,              0.0094766,              0.0094766
                     12,                 0.5017,                0.29747,                0.81792,                0.74822,                0.56483,                0.63655,                0.41349,                 1.1419,                0.94017,                  1.027,               0.009637,               0.009637,               0.009637
                     13,                0.51936,                0.30901,                0.81977,                0.75193,                0.56532,                0.62573,                0.41192,                 1.1633,                0.95487,                  1.035,               0.009604,               0.009604,               0.009604
                     14,                0.51683,                0.30568,                0.81937,                0.76033,                0.55221,                0.62979,                0.41178,                 1.1621,                 1.0452,                 1.0307,               0.009571,               0.009571,               0.009571
                     15,                0.52722,                0.31048,                0.82216,                0.74411,                0.56039,                0.62144,                0.40121,                 1.1904,                  1.036,                 1.0415,               0.009538,               0.009538,               0.009538
                     16,                0.51197,                0.30697,                0.82229,                0.75788,                0.54973,                 0.6243,                0.41102,                 1.1458,                 1.0175,                 1.0233,               0.009505,               0.009505,               0.009505
                     17,                0.51919,                0.30866,                0.82024,                0.73721,                0.55506,                0.61633,                0.40439,                 1.1628,                 1.0627,                 1.0405,               0.009472,               0.009472,               0.009472
                     18,                0.52523,                0.31026,                0.82113,                0.74359,                0.56128,                0.61794,                0.40094,                 1.1599,                 1.0398,                 1.0225,               0.009439,               0.009439,               0.009439
