Model,Folder,Precision,Recall,MAP50,MAP50-95
yolov8m,Medium_8195im_300ep,0.7279762255057634,0.6101243339253997,0.6503515289590022,0.4294122738021037
yolov8m,Medium_8195im_600ep,0.7542584194858817,0.5879218472468917,0.6500332773790726,0.42625865620317843
yolov8m,Medium_8195im_900ep_abandoned,0.7451875286614905,0.5781527531083481,0.6415393379815858,0.43013383793149346
yolov8x,XL_8195im_300ep_abandoned,0.7829853018138263,0.5383137385446998,0.6276861543040849,0.4118764224342592
yolov10m,V10M_8195im_300ep,0.7754787310681682,0.5630550621669627,0.6379775117670624,0.42840626284507427
yolov10m,V10M_8195im_300ep_04IoU_abandoned,1.0,0.0,0.3207217782903822,0.022025320405085112
yolov10m,V10M_8195im_300ep_05IoU_1cls_abandoned,0.7175805128889857,0.5618716318070979,0.6088263326854748,0.377784716749367
yolov10m,V10M_8195im_300ep_05IoU_1cls,0.7837692591371412,0.5719360568383659,0.636226013376132,0.420036296294343
yolov10m,V10M_8195im_600ep_05IoU_1cls,0.7920935673720753,0.5515155722709738,0.6373814315160486,0.42464166276095244
yolov10m,V10M_8195im_900ep_05IoU_1cls_abandoned,0.7684188204841089,0.5701598579040853,0.6390744549356162,0.4242822640500671
