                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  8.221,                 8.2754,                 5.0039,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070455,              0.0032828,              0.0032828
                      2,                  4.721,                  3.928,                 2.6012,                0.17136,                0.15808,                0.08473,                0.02736,                 5.7283,                 6.0315,                  3.091,               0.040433,              0.0065943,              0.0065943
                      3,                  4.104,                 3.4611,                 2.3664,                0.12522,                0.14387,                 0.0495,                0.01701,                 5.2272,                 11.411,                 2.9395,               0.010389,              0.0098838,              0.0098838
                      4,                 3.8256,                 3.1888,                 2.2656,                0.18042,                0.24334,                0.11009,                0.03885,                 4.5802,                 9.6765,                 2.5021,               0.009901,               0.009901,               0.009901
                      5,                 3.5854,                 2.8705,                 2.1864,                0.46648,                0.37039,                0.32225,                0.15201,                 3.7973,                 5.0315,                 2.3193,               0.009868,               0.009868,               0.009868
                      6,                 3.4379,                 2.7674,                 2.1528,                0.41325,                0.29663,                  0.264,                0.11411,                  4.227,                  4.382,                 2.4271,               0.009835,               0.009835,               0.009835
                      7,                 3.3462,                 2.6066,                 2.1188,                0.41894,                0.33393,                0.28523,                0.11397,                  4.351,                 3.9406,                 2.4384,               0.009802,               0.009802,               0.009802
                      8,                 3.2907,                 2.5114,                 2.1065,                0.45179,                0.45027,                0.37696,                0.17949,                 3.6796,                 4.7667,                 2.2836,               0.009769,               0.009769,               0.009769
                      9,                 3.2227,                 2.4222,                 2.0786,                0.44942,                0.40741,                0.31883,                0.14648,                 3.8538,                 3.8539,                 2.3753,               0.009736,               0.009736,               0.009736
                     10,                 3.0955,                 2.3258,                  2.043,                0.56937,                0.43339,                0.44289,                0.21909,                 3.6763,                 3.2709,                  2.232,               0.009703,               0.009703,               0.009703
                     11,                 3.0348,                 2.2232,                 2.0217,                0.54137,                0.45648,                0.44162,                0.22334,                 3.5759,                 3.5371,                 2.2261,                0.00967,                0.00967,                0.00967
