                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 8.6551,                 8.7103,                  5.247,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070526,              0.0032749,              0.0032749
                      2,                 4.9419,                 4.0673,                  2.614,                0.61697,                0.10009,                0.05525,                0.01698,                 5.3816,                 6.3737,                 2.9326,               0.040505,              0.0065864,              0.0065864
                      3,                 4.1433,                 3.4767,                 2.3471,                0.15565,                0.15013,                0.11237,                0.04397,                 4.6044,                  8.815,                 2.7413,               0.010461,              0.0098759,              0.0098759
                      4,                  3.925,                  3.228,                 2.2641,                0.69642,                0.14209,                0.12582,                0.05931,                 4.2266,                 10.232,                  2.559,               0.009901,               0.009901,               0.009901
                      5,                 3.6629,                 2.9902,                 2.1929,                  0.696,                0.17918,                0.14674,                0.06228,                 4.1643,                 5.2778,                 2.3179,               0.009868,               0.009868,               0.009868
                      6,                 3.5163,                  2.829,                 2.1581,                0.26354,                0.17032,                0.17334,                0.08304,                 3.8963,                 3.5938,                 2.2741,               0.009835,               0.009835,               0.009835
                      7,                  3.399,                 2.6887,                 2.1162,                0.74755,                 0.2185,                0.18686,                 0.0891,                  3.598,                 3.6699,                 2.2006,               0.009802,               0.009802,               0.009802
                      8,                 3.3187,                 2.5856,                 2.0889,                0.72999,                0.19437,                0.17726,                0.08372,                 3.7469,                 5.1619,                 2.2151,               0.009769,               0.009769,               0.009769
                      9,                  3.241,                  2.476,                 2.0751,                0.77502,                0.20554,                0.19866,                0.09387,                 3.8196,                 3.6781,                 2.2607,               0.009736,               0.009736,               0.009736
                     10,                 3.1874,                 2.4455,                 2.0587,                0.75972,                0.21445,                0.20302,                0.10033,                 3.6602,                 4.1762,                 2.1906,               0.009703,               0.009703,               0.009703
                     11,                  3.072,                 2.3266,                 2.0305,                0.28655,                 0.2319,                0.22258,                0.10673,                 3.6576,                  3.045,                 2.2491,                0.00967,                0.00967,                0.00967
                     12,                  3.069,                 2.2517,                 2.0239,                0.77715,                0.23458,                0.22405,                0.12411,                 3.4183,                 3.4028,                 2.1259,               0.009637,               0.009637,               0.009637
                     13,                 3.0074,                 2.1912,                 2.0092,                0.26772,                0.24204,                0.21357,                0.11409,                 3.4971,                 3.3755,                 2.1633,               0.009604,               0.009604,               0.009604
                     14,                 2.9645,                  2.164,                 1.9972,                0.29747,                 0.2395,                 0.2412,                0.13073,                 3.4421,                 2.9833,                  2.155,               0.009571,               0.009571,               0.009571
                     15,                 2.9288,                 2.0936,                 1.9831,                0.79138,                 0.2409,                0.24284,                0.13426,                 3.2727,                 3.4548,                 2.1268,               0.009538,               0.009538,               0.009538
                     16,                   2.87,                 2.0387,                 1.9751,                0.30354,                0.24084,                0.24407,                  0.139,                 3.2936,                 2.9897,                 2.1497,               0.009505,               0.009505,               0.009505
                     17,                 2.8344,                 1.9949,                 1.9554,                0.29716,                0.23592,                0.24359,                0.13267,                 3.4099,                 2.9534,                 2.1285,               0.009472,               0.009472,               0.009472
                     18,                 2.7635,                  1.908,                 1.9405,                0.80476,                0.25248,                0.25464,                0.13603,                 3.4431,                 2.8784,                 2.1473,               0.009439,               0.009439,               0.009439
                     19,                 2.7737,                 1.9062,                 1.9406,                0.30855,                0.25916,                0.26543,                0.14975,                  3.255,                 2.8865,                 2.1513,               0.009406,               0.009406,               0.009406
                     20,                 2.7058,                 1.8504,                 1.9163,                0.33405,                0.23414,                0.24929,                 0.1444,                 3.2419,                 2.8822,                 2.1295,               0.009373,               0.009373,               0.009373
                     21,                 2.6743,                 1.8158,                 1.9114,                0.80038,                 0.2471,                0.24614,                0.13945,                 3.3242,                 2.8607,                 2.1568,                0.00934,                0.00934,                0.00934
                     22,                 2.6058,                  1.761,                 1.8952,                0.84326,                0.25067,                0.27606,                0.15105,                 3.3677,                 2.7091,                 2.1491,               0.009307,               0.009307,               0.009307
