                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  9.825,                 11.383,                 6.4224,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070833,              0.0032407,              0.0032407
                      2,                 6.3661,                 5.1516,                 3.2274,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.040812,              0.0065524,              0.0065524
                      3,                 4.9855,                 4.2512,                  2.652,                 0.0626,                0.04174,                0.01461,                0.00532,                 6.0968,                 9.1917,                 3.7379,               0.010768,               0.009842,               0.009842
                      4,                 4.3418,                 3.7205,                  2.431,                 0.3862,                0.25871,                0.23583,                0.08999,                 4.3499,                 7.9722,                  2.674,               0.009901,               0.009901,               0.009901
                      5,                 4.0576,                 3.4325,                 2.3393,                0.31472,                0.29307,                0.23278,                0.09502,                 4.3623,                 6.7754,                 2.5397,               0.009868,               0.009868,               0.009868
                      6,                 3.8624,                 3.2254,                 2.2585,                0.45998,                0.33215,                0.30402,                0.15115,                  3.821,                 7.2651,                 2.3527,               0.009835,               0.009835,               0.009835
                      7,                   3.72,                 3.0411,                 2.2186,                0.31511,                0.28112,                 0.2105,                0.09362,                 4.1267,                 7.0141,                 2.3653,               0.009802,               0.009802,               0.009802
                      8,                 3.5055,                  2.876,                  2.154,                0.46628,                0.40409,                0.34261,                0.17894,                 3.5329,                 4.1124,                 2.1811,               0.009769,               0.009769,               0.009769
                      9,                 3.4248,                  2.767,                 2.1217,                0.49343,                0.34192,                0.33491,                 0.1609,                 3.8929,                 3.9388,                 2.2706,               0.009736,               0.009736,               0.009736
                     10,                 3.3491,                 2.6456,                  2.104,                0.53805,                0.42806,                 0.4051,                0.20713,                 3.5286,                 3.4949,                  2.185,               0.009703,               0.009703,               0.009703
                     11,                 3.2879,                 2.5507,                  2.092,                0.51977,                0.40764,                 0.3694,                0.17184,                 3.8234,                  4.261,                 2.2792,                0.00967,                0.00967,                0.00967
                     12,                 3.2744,                 2.5132,                 2.0831,                0.46742,                0.38988,                0.35177,                 0.1734,                 3.7054,                 3.7469,                 2.2366,               0.009637,               0.009637,               0.009637
                     13,                 3.1253,                 2.3747,                 2.0446,                0.57605,                0.43694,                0.44496,                0.23915,                 3.5552,                 3.1275,                 2.1893,               0.009604,               0.009604,               0.009604
                     14,                 3.0884,                  2.325,                 2.0248,                0.57111,                0.39343,                0.41774,                0.19517,                 4.0334,                 3.3522,                 2.2972,               0.009571,               0.009571,               0.009571
                     15,                 3.0556,                 2.3049,                 2.0205,                0.62506,                0.44316,                0.47386,                0.24712,                 3.5489,                 2.9798,                 2.1706,               0.009538,               0.009538,               0.009538
                     16,                  3.027,                 2.2305,                 2.0092,                0.66197,                 0.4325,                0.48842,                0.25942,                  3.471,                 2.8528,                 2.1924,               0.009505,               0.009505,               0.009505
                     17,                 3.0126,                   2.16,                 1.9964,                0.61854,                0.47869,                0.46602,                0.25571,                 3.3196,                 3.0241,                 2.1342,               0.009472,               0.009472,               0.009472
                     18,                 2.9285,                  2.089,                 1.9836,                0.56506,                0.48574,                0.44241,                0.25663,                 3.2144,                 3.0815,                  2.119,               0.009439,               0.009439,               0.009439
                     19,                 2.9332,                 2.0718,                 1.9782,                0.62384,                0.49023,                0.48606,                0.27576,                 3.2106,                  2.947,                 2.1255,               0.009406,               0.009406,               0.009406
                     20,                 2.8303,                  2.013,                 1.9479,                  0.604,                0.48401,                0.48122,                0.27147,                 3.1688,                 2.8874,                 2.0829,               0.009373,               0.009373,               0.009373
                     21,                 2.8296,                 1.9838,                 1.9555,                0.63639,                 0.4929,                0.50339,                0.27704,                 3.3188,                 2.8374,                 2.1364,                0.00934,                0.00934,                0.00934
                     22,                 2.7496,                 1.9131,                   1.93,                 0.6669,                0.48401,                0.52622,                0.29561,                 3.1982,                 2.6513,                 2.0957,               0.009307,               0.009307,               0.009307
                     23,                 2.7322,                 1.8835,                 1.9268,                0.63224,                 0.4849,                0.51283,                0.28099,                 3.3246,                 2.8237,                 2.1315,               0.009274,               0.009274,               0.009274
