                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 9.9063,                 11.298,                  6.526,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070833,              0.0032407,              0.0032407
                      2,                 6.2458,                 4.9027,                 3.2415,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.040812,              0.0065524,              0.0065524
                      3,                 4.6695,                  3.964,                 2.5786,                0.13346,                0.07993,                0.03448,                0.01301,                    nan,                    nan,                    nan,               0.010768,               0.009842,               0.009842
                      4,                  4.146,                 3.5062,                 2.3731,                0.24834,                0.28051,                0.14321,                0.05592,                 4.3384,                 20.136,                 2.5966,               0.009901,               0.009901,               0.009901
                      5,                  3.862,                 3.2474,                 2.2885,                0.29953,                0.26821,                0.16267,                0.06715,                 4.1675,                 7.7448,                 2.4364,               0.009868,               0.009868,               0.009868
                      6,                 3.7128,                 3.0927,                 2.2377,                0.39692,                0.36234,                0.26427,                0.12739,                 3.6746,                 4.6045,                 2.2957,               0.009835,               0.009835,               0.009835
                      7,                 3.5811,                 2.9067,                 2.1935,                0.47678,                 0.3952,                0.34741,                0.15652,                  3.747,                 5.4387,                 2.3143,               0.009802,               0.009802,               0.009802
                      8,                 3.4486,                 2.8024,                 2.1556,                0.46654,                0.44494,                 0.3839,                0.19234,                 3.5945,                 3.9238,                 2.2218,               0.009769,               0.009769,               0.009769
                      9,                 3.3715,                 2.6627,                 2.1286,                0.45433,                0.44938,                0.38337,                0.18425,                 3.6241,                 4.0776,                 2.2361,               0.009736,               0.009736,               0.009736
                     10,                 3.2584,                 2.5681,                 2.0994,                0.51058,                0.43961,                0.40596,                0.19537,                 3.7204,                 3.3718,                 2.2778,               0.009703,               0.009703,               0.009703
                     11,                 3.1731,                 2.5024,                 2.0783,                0.53763,                0.45648,                0.43544,                0.23001,                 3.4069,                 3.2428,                 2.1666,                0.00967,                0.00967,                0.00967
                     12,                  3.158,                 2.4562,                 2.0683,                0.59247,                0.42007,                0.44301,                0.22514,                 3.7073,                 3.2078,                  2.268,               0.009637,               0.009637,               0.009637
                     13,                 3.0672,                 2.3145,                 2.0387,                0.58297,                0.45648,                0.44736,                 0.2298,                 3.4124,                 3.3235,                 2.1342,               0.009604,               0.009604,               0.009604
                     14,                 3.0245,                 2.2314,                 2.0253,                0.52804,                0.47425,                0.41941,                0.22226,                  3.347,                 3.5924,                 2.1543,               0.009571,               0.009571,               0.009571
                     15,                 2.9754,                 2.1902,                 2.0062,                0.63008,                0.47957,                0.49313,                0.27246,                  3.314,                 2.7513,                 2.1665,               0.009538,               0.009538,               0.009538
                     16,                 2.9213,                 2.1453,                 2.0008,                0.61233,                0.44469,                0.46574,                0.24622,                 3.4745,                 3.1495,                 2.1824,               0.009505,               0.009505,               0.009505
                     17,                 2.9138,                 2.1107,                 1.9902,                0.64253,                0.44494,                0.46136,                 0.2379,                 3.6097,                 3.0067,                 2.1765,               0.009472,               0.009472,               0.009472
                     18,                  2.855,                 2.0237,                 1.9657,                0.64076,                0.47364,                0.50204,                0.27915,                 3.2441,                 2.7424,                 2.1292,               0.009439,               0.009439,               0.009439
                     19,                 2.8356,                 1.9854,                 1.9678,                0.66415,                0.51984,                0.54417,                0.31184,                 3.1506,                 2.5317,                 2.1248,               0.009406,               0.009406,               0.009406
                     20,                 2.7714,                 1.9293,                 1.9521,                0.61217,                 0.4654,                0.45879,                0.24868,                 3.4287,                 3.0323,                 2.1687,               0.009373,               0.009373,               0.009373
                     21,                 2.7859,                 1.9082,                  1.944,                0.62126,                0.50089,                0.50523,                0.28097,                 3.3167,                 2.9236,                  2.142,                0.00934,                0.00934,                0.00934
                     22,                 2.7032,                  1.831,                 1.9374,                0.65409,                0.49467,                0.52486,                0.28743,                 3.2165,                 2.7824,                 2.1362,               0.009307,               0.009307,               0.009307
                     23,                 2.6623,                 1.8053,                 1.9244,                0.65374,                0.50799,                0.53327,                0.30415,                 3.1894,                 2.7592,                 2.0868,               0.009274,               0.009274,               0.009274
                     24,                 2.6235,                 1.7381,                 1.9068,                0.62055,                0.52575,                0.52801,                0.30569,                 3.1814,                 2.6264,                 2.0988,               0.009241,               0.009241,               0.009241
                     25,                 2.6238,                 1.7489,                 1.9036,                0.65058,                0.50267,                0.53255,                0.29419,                 3.2852,                 2.6673,                 2.1227,               0.009208,               0.009208,               0.009208
                     26,                 2.5859,                 1.7033,                 1.8927,                0.65231,                0.48934,                0.52977,                0.29036,                  3.318,                 2.7355,                 2.1346,               0.009175,               0.009175,               0.009175
                     27,                  2.581,                 1.7053,                 1.8873,                0.72035,                0.45525,                0.52344,                0.29342,                 3.3071,                 2.8745,                 2.1439,               0.009142,               0.009142,               0.009142
                     28,                 2.4969,                 1.5935,                 1.8682,                 0.7095,                0.47069,                0.52892,                0.29157,                 3.3142,                 2.8947,                 2.1574,               0.009109,               0.009109,               0.009109
                     29,                 2.5269,                 1.5951,                 1.8724,                0.71846,                0.43339,                0.49757,                 0.2627,                  3.437,                 3.0502,                 2.1642,               0.009076,               0.009076,               0.009076
                     30,                 2.4832,                 1.5899,                 1.8693,                0.68038,                0.48757,                 0.5372,                0.31365,                 3.2058,                 2.6015,                 2.1168,               0.009043,               0.009043,               0.009043
                     31,                 2.4486,                 1.5479,                 1.8541,                0.65298,                0.51687,                0.54697,                0.31899,                 3.1211,                 2.6008,                 2.1045,                0.00901,                0.00901,                0.00901
                     32,                 2.4165,                 1.5519,                 1.8569,                0.64177,                0.49467,                0.52587,                0.29546,                 3.3247,                 2.7357,                 2.1374,               0.008977,               0.008977,               0.008977
