                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4176,                 0.7739,                 1.6529,                0.81335,                 0.4325,                0.59254,                0.40264,                 2.8809,                 3.9402,                 2.0726,                 0.0712,                 0.0032,                 0.0032
                      2,                  1.389,                0.73554,                 1.6559,                0.76394,                0.53375,                0.60221,                0.38424,                 2.8555,                 2.7356,                 2.0773,               0.041479,              0.0064785,              0.0064785
                      3,                 1.4282,                0.76398,                 1.6575,                0.74803,                0.53786,                0.59521,                0.36662,                 2.9282,                  2.592,                 2.0895,               0.011735,              0.0097353,              0.0097353
                      4,                 1.5428,                 0.8241,                 1.6697,                0.73077,                0.50533,                0.56141,                0.36051,                 2.9597,                 3.0491,                 2.0966,               0.009901,               0.009901,               0.009901
                      5,                 1.5674,                0.84106,                 1.6824,                0.74023,                0.53464,                0.58852,                0.37181,                 2.8149,                 2.3042,                 2.0779,               0.009868,               0.009868,               0.009868
                      6,                 1.5628,                0.83585,                 1.6792,                0.72673,                 0.5444,                 0.6029,                0.37402,                  2.859,                 2.2796,                 2.0525,               0.009835,               0.009835,               0.009835
                      7,                 1.5425,                0.82501,                 1.6743,                0.69766,                0.52398,                0.55806,                 0.3314,                 3.0683,                 2.7675,                 2.1148,               0.009802,               0.009802,               0.009802
                      8,                 1.5417,                0.82013,                 1.6733,                0.75002,                0.53464,                0.59587,                0.36332,                 2.8776,                 2.3125,                 2.0708,               0.009769,               0.009769,               0.009769
                      9,                  1.541,                0.82351,                 1.6732,                0.74519,                0.53286,                0.59169,                0.36623,                 2.8991,                 2.4941,                 2.0679,               0.009736,               0.009736,               0.009736
                     10,                 1.5559,                0.83155,                 1.6767,                0.72294,                 0.5444,                0.60274,                0.38506,                 2.7814,                   2.46,                 2.0469,               0.009703,               0.009703,               0.009703
                     11,                 1.5234,                0.81442,                 1.6759,                0.76857,                0.48135,                0.56801,                0.33745,                 3.0172,                 2.9691,                  2.088,                0.00967,                0.00967,                0.00967
                     12,                 1.5305,                0.81945,                 1.6754,                0.76132,                0.52973,                 0.5943,                0.37396,                 2.8622,                 2.3712,                 2.0675,               0.009637,               0.009637,               0.009637
                     13,                 1.5146,                0.81589,                 1.6744,                0.72766,                0.53629,                0.58873,                0.38147,                 2.7906,                 2.4509,                 2.0506,               0.009604,               0.009604,               0.009604
                     14,                 1.5504,                0.83494,                 1.6749,                0.71548,                0.54263,                 0.5663,                0.34697,                 2.9277,                 2.4286,                 2.0696,               0.009571,               0.009571,               0.009571
                     15,                 1.5364,                0.81433,                 1.6709,                0.72105,                0.52487,                0.57567,                0.35922,                 2.9201,                 2.6675,                 2.0824,               0.009538,               0.009538,               0.009538
                     16,                 1.5261,                0.82718,                 1.6785,                0.71994,                0.57549,                0.61402,                0.38222,                 2.8197,                 2.2081,                 2.0552,               0.009505,               0.009505,               0.009505
                     17,                 1.5609,                0.82887,                 1.6743,                0.74493,                0.56217,                0.60145,                 0.3798,                  2.796,                 2.3345,                 2.0434,               0.009472,               0.009472,               0.009472
                     18,                 1.5445,                0.81838,                 1.6725,                0.70435,                0.57371,                0.60319,                0.38433,                 2.7939,                 2.3045,                  2.048,               0.009439,               0.009439,               0.009439
                     19,                 1.5218,                0.80915,                 1.6744,                  0.712,                0.52398,                0.56733,                0.36208,                 2.8133,                 2.6436,                 2.0498,               0.009406,               0.009406,               0.009406
                     20,                 1.5217,                0.81298,                 1.6707,                0.75467,                0.56823,                 0.6179,                0.39635,                 2.7289,                 2.2806,                 2.0209,               0.009373,               0.009373,               0.009373
                     21,                  1.503,                0.79732,                 1.6728,                0.71093,                0.57726,                0.62327,                0.39149,                 2.7631,                 2.2849,                 2.0385,                0.00934,                0.00934,                0.00934
                     22,                 1.5009,                 0.8026,                 1.6719,                0.72458,                0.56039,                0.60835,                0.36859,                 2.9057,                 2.3408,                 2.0816,               0.009307,               0.009307,               0.009307
                     23,                 1.5095,                  0.811,                 1.6683,                0.67791,                0.54263,                0.57902,                0.35167,                 2.8934,                 2.6412,                 2.0569,               0.009274,               0.009274,               0.009274
                     24,                 1.4994,                0.80057,                 1.6678,                0.71913,                0.55062,                0.60416,                0.35606,                  2.932,                 2.3648,                 2.0437,               0.009241,               0.009241,               0.009241
                     25,                 1.5025,                0.78424,                 1.6694,                0.69705,                0.58646,                0.61796,                0.39139,                 2.7447,                 2.2737,                   2.04,               0.009208,               0.009208,               0.009208
                     26,                 1.5192,                0.80419,                 1.6703,                0.69482,                0.56483,                 0.5843,                0.36031,                 2.8735,                 2.4402,                 2.0563,               0.009175,               0.009175,               0.009175
                     27,                 1.4882,                0.78812,                  1.674,                0.72605,                0.54973,                0.59561,                 0.3877,                 2.7466,                 2.3097,                 2.0348,               0.009142,               0.009142,               0.009142
                     28,                 1.4926,                0.78552,                 1.6715,                0.75219,                 0.5302,                0.59747,                0.37649,                 2.7748,                 2.4258,                 2.0267,               0.009109,               0.009109,               0.009109
                     29,                 1.4854,                0.79028,                 1.6687,                0.67833,                0.56483,                 0.6073,                0.39303,                 2.7405,                 2.4132,                 2.0343,               0.009076,               0.009076,               0.009076
                     30,                 1.4913,                0.79393,                 1.6687,                0.72962,                0.53442,                  0.598,                 0.3832,                 2.7997,                 2.5191,                 2.0532,               0.009043,               0.009043,               0.009043
                     31,                 1.4934,                0.79649,                 1.6698,                0.74831,                0.51776,                0.59019,                0.37947,                 2.8297,                 2.5559,                  2.072,                0.00901,                0.00901,                0.00901
                     32,                 1.4774,                0.77869,                 1.6702,                0.74815,                0.55062,                 0.6169,                0.39368,                  2.751,                  2.267,                 2.0488,               0.008977,               0.008977,               0.008977
                     33,                 1.4702,                0.78312,                 1.6719,                0.74911,                0.55506,                0.62791,                0.39793,                 2.7898,                 2.2185,                  2.063,               0.008944,               0.008944,               0.008944
                     34,                 1.4569,                0.77509,                 1.6662,                0.72774,                0.54352,                0.59652,                0.38444,                 2.7949,                 2.3434,                 2.0638,               0.008911,               0.008911,               0.008911
                     35,                  1.498,                0.79794,                 1.6725,                0.70991,                0.56724,                0.60565,                0.37552,                 2.8431,                 2.2375,                 2.0377,               0.008878,               0.008878,               0.008878
                     36,                  1.451,                0.76814,                 1.6602,                0.72202,                0.57207,                0.62184,                0.39277,                 2.7734,                  2.371,                 2.0465,               0.008845,               0.008845,               0.008845
                     37,                 1.4562,                0.77345,                  1.667,                0.70228,                0.56562,                0.61035,                0.38872,                 2.7342,                   2.25,                 2.0433,               0.008812,               0.008812,               0.008812
                     38,                 1.4587,                 0.7724,                 1.6692,                0.73086,                0.56927,                0.61206,                0.39448,                 2.7267,                 2.2744,                 2.0582,               0.008779,               0.008779,               0.008779
                     39,                 1.4601,                0.76655,                 1.6617,                0.72102,                0.55417,                0.59434,                0.38196,                 2.8153,                 2.5556,                 2.0451,               0.008746,               0.008746,               0.008746
                     40,                 1.4579,                0.77521,                 1.6638,                0.78293,                0.53197,                 0.6076,                0.38769,                 2.7495,                 2.3281,                 2.0476,               0.008713,               0.008713,               0.008713
                     41,                 1.4793,                0.78069,                 1.6634,                0.70956,                0.56845,                0.61683,                0.39405,                 2.7351,                 2.1847,                 2.0444,                0.00868,                0.00868,                0.00868
                     42,                 1.4729,                  0.775,                 1.6647,                0.73889,                0.54707,                0.60044,                0.38385,                 2.7912,                 2.3626,                 2.0491,               0.008647,               0.008647,               0.008647
                     43,                 1.4452,                0.75947,                 1.6619,                0.73482,                0.56039,                0.61104,                0.38476,                 2.7748,                 2.2087,                 2.0617,               0.008614,               0.008614,               0.008614
                     44,                 1.4548,                0.76591,                 1.6601,                0.70352,                0.57111,                0.61842,                0.38625,                   2.83,                 2.3723,                 2.0393,               0.008581,               0.008581,               0.008581
                     45,                 1.4233,                0.74565,                 1.6564,                0.69953,                0.57016,                0.61082,                0.38906,                 2.7637,                 2.3247,                 2.0397,               0.008548,               0.008548,               0.008548
                     46,                 1.4346,                0.74929,                 1.6657,                 0.7058,                0.57638,                0.61372,                0.39069,                 2.7375,                 2.2728,                 2.0358,               0.008515,               0.008515,               0.008515
                     47,                 1.4144,                0.75091,                 1.6568,                0.72025,                 0.5675,                0.61259,                 0.3906,                 2.7581,                 2.2944,                 2.0359,               0.008482,               0.008482,               0.008482
                     48,                 1.4487,                0.76559,                 1.6636,                0.73628,                0.55044,                0.61964,                0.39656,                 2.7612,                 2.3032,                 2.0311,               0.008449,               0.008449,               0.008449
                     49,                 1.4398,                0.75227,                 1.6595,                 0.7124,                0.57993,                0.60865,                0.38434,                 2.8039,                 2.3133,                 2.0668,               0.008416,               0.008416,               0.008416
                     50,                   1.43,                0.75659,                 1.6629,                0.73243,                0.55428,                0.61323,                0.38916,                 2.7349,                 2.2958,                 2.0452,               0.008383,               0.008383,               0.008383
                     51,                 1.4354,                0.75909,                 1.6605,                0.69758,                 0.5736,                0.61252,                0.38674,                 2.7787,                 2.3369,                 2.0464,                0.00835,                0.00835,                0.00835
                     52,                 1.4059,                0.74207,                 1.6605,                0.75287,                0.56394,                0.62561,                0.39661,                 2.7648,                  2.344,                  2.028,               0.008317,               0.008317,               0.008317
                     53,                 1.4335,                0.75835,                 1.6607,                0.72676,                0.54174,                0.58849,                0.38487,                 2.7517,                 2.4444,                 2.0637,               0.008284,               0.008284,               0.008284
                     54,                 1.4256,                0.74828,                 1.6588,                0.73659,                0.55329,                0.61764,                0.39749,                 2.6824,                  2.337,                 2.0292,               0.008251,               0.008251,               0.008251
                     55,                 1.4224,                 0.7375,                 1.6589,                0.74491,                 0.5524,                0.60985,                0.39369,                  2.715,                 2.2888,                 2.0396,               0.008218,               0.008218,               0.008218
                     56,                 1.4169,                 0.7421,                 1.6592,                0.73143,                0.56039,                0.60108,                0.38997,                 2.7038,                 2.3957,                 2.0254,               0.008185,               0.008185,               0.008185
                     57,                 1.4329,                0.74708,                 1.6633,                0.70063,                0.54871,                0.59308,                0.37909,                 2.7692,                 2.4221,                 2.0523,               0.008152,               0.008152,               0.008152
                     58,                 1.4084,                0.73331,                 1.6568,                0.69469,                0.57638,                0.62393,                0.38856,                 2.7819,                 2.2367,                 2.0449,               0.008119,               0.008119,               0.008119
                     59,                 1.3944,                0.72718,                  1.656,                0.76396,                0.52575,                0.60693,                0.39887,                  2.665,                 2.3708,                 2.0407,               0.008086,               0.008086,               0.008086
                     60,                 1.4094,                 0.7362,                 1.6571,                 0.7612,                0.53996,                0.60631,                0.38572,                 2.8103,                 2.3565,                 2.0491,               0.008053,               0.008053,               0.008053
                     61,                 1.4065,                0.74059,                 1.6583,                0.72751,                0.54529,                0.60703,                0.38282,                 2.8123,                 2.4437,                 2.0722,                0.00802,                0.00802,                0.00802
                     62,                 1.4233,                0.75249,                 1.6642,                 0.7225,                0.54568,                0.60354,                0.37367,                 2.8755,                 2.3604,                 2.0654,               0.007987,               0.007987,               0.007987
                     63,                 1.4156,                 0.7427,                 1.6578,                0.71237,                 0.5524,                0.61245,                0.39826,                 2.7109,                 2.3741,                 2.0454,               0.007954,               0.007954,               0.007954
                     64,                  1.388,                0.72531,                 1.6578,                0.75643,                0.55151,                0.61245,                  0.385,                 2.7997,                 2.3172,                 2.0609,               0.007921,               0.007921,               0.007921
                     65,                 1.4033,                0.73342,                 1.6651,                0.71498,                0.55151,                0.59896,                0.38464,                 2.8115,                 2.2939,                  2.072,               0.007888,               0.007888,               0.007888
                     66,                 1.3994,                 0.7325,                 1.6543,                0.78499,                0.54352,                0.60835,                0.39156,                 2.7355,                 2.2482,                  2.045,               0.007855,               0.007855,               0.007855
                     67,                 1.3962,                   0.73,                  1.653,                0.72966,                0.56128,                0.61019,                0.38973,                 2.7737,                 2.3988,                 2.0819,               0.007822,               0.007822,               0.007822
                     68,                  1.399,                 0.7305,                 1.6542,                0.73048,                0.56394,                0.60265,                0.37801,                 2.7999,                 2.2479,                 2.0752,               0.007789,               0.007789,               0.007789
                     69,                 1.3837,                0.71306,                   1.65,                0.72848,                0.54796,                0.61497,                0.39201,                  2.789,                  2.385,                 2.0738,               0.007756,               0.007756,               0.007756
                     70,                  1.368,                0.70966,                 1.6548,                0.72279,                0.56483,                0.61064,                0.39008,                 2.7531,                  2.373,                 2.0482,               0.007723,               0.007723,               0.007723
                     71,                 1.3878,                0.71849,                 1.6491,                0.75896,                 0.5444,                0.61434,                0.38652,                 2.7774,                 2.3435,                 2.0781,                0.00769,                0.00769,                0.00769
                     72,                 1.3425,                0.70234,                 1.6503,                0.75553,                0.55991,                0.62643,                0.40104,                 2.7506,                 2.2633,                 2.0612,               0.007657,               0.007657,               0.007657
                     73,                 1.3501,                0.70339,                 1.6521,                0.74135,                0.57527,                0.62878,                0.40663,                 2.7074,                 2.3048,                 2.0266,               0.007624,               0.007624,               0.007624
                     74,                 1.3437,                0.70103,                 1.6461,                0.74503,                0.55506,                0.62081,                0.39583,                 2.6918,                 2.2919,                 2.0454,               0.007591,               0.007591,               0.007591
                     75,                 1.3535,                0.70353,                 1.6505,                0.73882,                0.57105,                 0.6246,                0.39878,                 2.7139,                 2.2189,                 2.0501,               0.007558,               0.007558,               0.007558
                     76,                 1.3679,                0.71684,                 1.6525,                0.74541,                0.56217,                0.61446,                0.38951,                 2.7393,                 2.2228,                 2.0543,               0.007525,               0.007525,               0.007525
                     77,                 1.3763,                0.71586,                 1.6505,                0.76068,                0.53819,                0.60547,                0.38801,                 2.7852,                 2.2365,                 2.0774,               0.007492,               0.007492,               0.007492
                     78,                 1.3873,                0.71711,                 1.6563,                  0.781,                 0.5444,                0.61486,                 0.3964,                 2.7634,                 2.3643,                 2.0534,               0.007459,               0.007459,               0.007459
                     79,                 1.3498,                0.70089,                 1.6539,                0.74207,                0.55417,                0.61763,                 0.4084,                 2.6854,                 2.3701,                 2.0433,               0.007426,               0.007426,               0.007426
                     80,                  1.388,                 0.7253,                 1.6539,                0.71444,                0.58171,                0.62599,                0.40574,                 2.7128,                 2.1645,                 2.0426,               0.007393,               0.007393,               0.007393
                     81,                 1.3493,                0.71075,                  1.655,                0.75086,                0.56927,                0.62517,                0.39101,                 2.7993,                 2.2718,                 2.0825,                0.00736,                0.00736,                0.00736
                     82,                 1.3587,                 0.7087,                 1.6479,                0.73658,                0.56039,                0.61959,                0.39344,                 2.7716,                  2.222,                 2.0914,               0.007327,               0.007327,               0.007327
                     83,                 1.3633,                0.71058,                 1.6506,                0.75548,                0.56039,                0.61599,                0.40675,                 2.6755,                 2.2941,                 2.0381,               0.007294,               0.007294,               0.007294
                     84,                 1.3557,                0.70846,                  1.647,                 0.7783,                 0.5373,                0.59935,                0.39052,                 2.7701,                 2.4604,                 2.0646,               0.007261,               0.007261,               0.007261
                     85,                 1.3569,                 0.7056,                  1.653,                 0.8048,                0.52842,                0.61398,                0.40645,                 2.6878,                  2.326,                 2.0344,               0.007228,               0.007228,               0.007228
                     86,                 1.3477,                0.69204,                 1.6462,                0.77277,                0.55271,                0.61865,                0.39393,                 2.7941,                 2.3473,                 2.0607,               0.007195,               0.007195,               0.007195
                     87,                 1.3334,                0.69608,                 1.6445,                0.71375,                0.58018,                0.61831,                0.39633,                 2.7303,                  2.222,                 2.0673,               0.007162,               0.007162,               0.007162
                     88,                   1.33,                0.68273,                 1.6441,                 0.7591,                0.55329,                 0.6253,                 0.3915,                 2.8047,                 2.2147,                 2.0663,               0.007129,               0.007129,               0.007129
                     89,                 1.3293,                0.68919,                 1.6454,                0.73268,                0.58082,                0.63571,                0.41336,                 2.6848,                 2.1854,                 2.0492,               0.007096,               0.007096,               0.007096
                     90,                 1.3097,                0.68658,                 1.6468,                0.79125,                0.52753,                0.61572,                0.39673,                 2.6933,                   2.26,                 2.0519,               0.007063,               0.007063,               0.007063
                     91,                 1.3098,                0.67502,                 1.6463,                0.74411,                 0.5524,                0.60808,                0.39988,                 2.6873,                 2.3364,                 2.0302,                0.00703,                0.00703,                0.00703
                     92,                 1.3249,                0.68228,                 1.6404,                0.75714,                0.54973,                0.63031,                0.41341,                 2.6723,                 2.1689,                 2.0379,               0.006997,               0.006997,               0.006997
                     93,                  1.328,                0.68375,                  1.642,                0.74578,                0.55417,                0.62018,                0.40426,                 2.6486,                 2.3029,                 2.0327,               0.006964,               0.006964,               0.006964
                     94,                 1.3134,                0.68904,                 1.6464,                0.79517,                0.51372,                0.60659,                0.39064,                 2.8039,                 2.5743,                 2.0833,               0.006931,               0.006931,               0.006931
                     95,                 1.2982,                0.66847,                 1.6447,                0.75929,                0.52945,                0.59085,                0.38514,                 2.7995,                 2.4953,                  2.084,               0.006898,               0.006898,               0.006898
                     96,                 1.3061,                0.67743,                 1.6491,                0.73115,                0.57282,                0.61968,                0.40675,                 2.6501,                 2.2254,                 2.0483,               0.006865,               0.006865,               0.006865
                     97,                 1.3395,                0.69225,                 1.6471,                 0.7592,                0.55861,                0.61774,                0.39797,                 2.7274,                 2.3543,                  2.056,               0.006832,               0.006832,               0.006832
                     98,                 1.3169,                0.68358,                 1.6481,                0.77008,                0.55325,                0.61809,                0.39269,                 2.7563,                 2.3077,                 2.0607,               0.006799,               0.006799,               0.006799
                     99,                 1.3186,                0.67722,                 1.6434,                0.76354,                0.56493,                0.62817,                 0.4075,                  2.706,                 2.1729,                 2.0424,               0.006766,               0.006766,               0.006766
                    100,                 1.3096,                0.67676,                 1.6409,                0.75933,                0.56217,                0.63299,                0.40411,                 2.7254,                 2.2526,                 2.0612,               0.006733,               0.006733,               0.006733
                    101,                 1.3227,                0.67999,                 1.6454,                0.73915,                0.57282,                0.62997,                0.40248,                 2.7228,                 2.2805,                  2.038,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.3137,                0.68168,                 1.6492,                0.74244,                 0.5595,                0.61832,                0.39519,                 2.7874,                 2.4668,                 2.0699,               0.006667,               0.006667,               0.006667
                    103,                 1.3117,                0.66675,                 1.6473,                0.78099,                0.54154,                0.61975,                0.41058,                 2.6838,                 2.4067,                 2.0421,               0.006634,               0.006634,               0.006634
                    104,                  1.319,                0.67396,                  1.643,                 0.7755,                0.54885,                0.60885,                0.39945,                 2.7528,                 2.3363,                 2.0975,               0.006601,               0.006601,               0.006601
                    105,                 1.3306,                   0.68,                 1.6482,                0.75569,                0.56927,                0.62248,                0.39621,                 2.7337,                 2.1995,                 2.0757,               0.006568,               0.006568,               0.006568
                    106,                 1.2978,                0.67176,                 1.6477,                0.73385,                0.57726,                0.62238,                0.40543,                 2.7026,                 2.2946,                   2.04,               0.006535,               0.006535,               0.006535
                    107,                 1.2879,                0.67041,                 1.6438,                0.76773,                0.55506,                0.62436,                0.40534,                 2.7018,                 2.3136,                 2.0374,               0.006502,               0.006502,               0.006502
                    108,                 1.3126,                0.67489,                 1.6457,                0.72662,                0.56651,                0.61433,                0.39561,                 2.7198,                 2.3526,                 2.0619,               0.006469,               0.006469,               0.006469
                    109,                  1.293,                0.66962,                 1.6448,                0.72275,                0.58526,                0.62498,                0.40008,                 2.7111,                 2.2328,                 2.0482,               0.006436,               0.006436,               0.006436
                    110,                 1.2806,                0.65769,                 1.6439,                0.78118,                0.54707,                0.62402,                 0.3979,                 2.7767,                 2.3345,                 2.0645,               0.006403,               0.006403,               0.006403
