                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3024,                0.67078,                 1.6407,                0.76944,                0.54174,                0.61747,                0.40521,                  2.696,                 2.3438,                  2.072,               0.070882,              0.0032353,              0.0032353
                      2,                 1.2642,                0.64546,                 1.6299,                0.75261,                0.49467,                0.57589,                 0.3693,                 2.8603,                 3.2285,                 2.0647,               0.040861,               0.006547,               0.006547
                      3,                 1.2969,                0.66425,                 1.6376,                0.70965,                0.53108,                 0.5914,                0.38304,                 2.7192,                 2.3585,                 2.0656,               0.010817,              0.0098366,              0.0098366
                      4,                 1.3793,                0.71067,                 1.6468,                0.73191,                0.55506,                0.60909,                0.38997,                 2.7581,                 2.3081,                 2.0614,               0.009901,               0.009901,               0.009901
                      5,                 1.3913,                0.71889,                 1.6526,                0.70391,                 0.5373,                0.56945,                0.34923,                 2.9352,                 2.6103,                 2.1145,               0.009868,               0.009868,               0.009868
                      6,                 1.3869,                0.72008,                 1.6468,                0.71695,                0.56483,                0.61047,                0.39298,                 2.6866,                 2.3249,                 2.0512,               0.009835,               0.009835,               0.009835
                      7,                 1.3647,                0.71083,                 1.6515,                0.72247,                 0.5433,                0.59453,                0.38389,                 2.7171,                 2.5099,                 2.0338,               0.009802,               0.009802,               0.009802
                      8,                 1.3415,                0.68403,                 1.6477,                0.71919,                0.53286,                0.58966,                0.37754,                 2.7905,                 2.6382,                 2.0614,               0.009769,               0.009769,               0.009769
                      9,                 1.3535,                0.71127,                 1.6529,                0.72559,                0.54085,                0.59683,                0.37625,                  2.803,                 2.5143,                 2.0593,               0.009736,               0.009736,               0.009736
                     10,                 1.3582,                0.71568,                 1.6519,                0.73765,                0.54174,                0.60894,                0.40423,                 2.6596,                 2.4252,                 2.0421,               0.009703,               0.009703,               0.009703
                     11,                 1.3554,                0.69643,                 1.6509,                0.73217,                0.51865,                0.58655,                0.37838,                 2.7182,                 2.5242,                 2.0316,                0.00967,                0.00967,                0.00967
                     12,                 1.3517,                0.69422,                 1.6536,                0.76074,                0.53819,                0.59152,                0.38131,                 2.7334,                 2.3549,                 2.0529,               0.009637,               0.009637,               0.009637
                     13,                 1.4017,                0.70769,                 1.6577,                0.72955,                0.55861,                0.61072,                0.39361,                 2.6961,                 2.2638,                 2.0394,               0.009604,               0.009604,               0.009604
                     14,                   1.34,                0.68477,                 1.6479,                0.74193,                0.52597,                0.60247,                0.39436,                 2.7158,                 2.3825,                 2.0688,               0.009571,               0.009571,               0.009571
                     15,                 1.3348,                0.70037,                 1.6441,                0.69848,                0.52753,                0.59312,                0.37927,                 2.7793,                  2.415,                 2.0481,               0.009538,               0.009538,               0.009538
                     16,                 1.3561,                0.69664,                 1.6526,                0.71113,                0.54656,                 0.6079,                0.39618,                 2.6902,                 2.3939,                 2.0404,               0.009505,               0.009505,               0.009505
                     17,                 1.3293,                0.68726,                 1.6442,                0.78455,                0.51687,                0.60556,                0.39476,                 2.7325,                 2.4421,                 2.0658,               0.009472,               0.009472,               0.009472
                     18,                 1.3545,                0.69964,                 1.6525,                0.73681,                0.57016,                0.62509,                0.40549,                 2.6837,                 2.3673,                 2.0423,               0.009439,               0.009439,               0.009439
                     19,                 1.3148,                0.67308,                 1.6471,                0.74398,                0.55417,                0.61276,                0.40312,                 2.6923,                 2.4759,                 2.0421,               0.009406,               0.009406,               0.009406
