                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5389,                 5.7765,                 3.8464,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0802,                 0.0022,                 0.0022
                      2,                 4.1214,                 3.2866,                 2.2833,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.059485,              0.0044852,              0.0044852
                      3,                 3.4005,                 2.9299,                 1.7247,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.038755,              0.0067551,              0.0067551
                      4,                 2.8709,                 2.5591,                 1.5053,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.01801,              0.0090099,              0.0090099
                      5,                 2.6094,                 2.3023,                 1.3865,                0.02765,                0.14387,                0.00926,                0.00308,                    nan,                    nan,                    nan,               0.009868,               0.009868,               0.009868
                      6,                 2.4199,                 2.0823,                 1.3312,                0.16875,                 0.2663,                0.13821,                0.05065,                 2.4414,                 17.241,                 1.5408,               0.009835,               0.009835,               0.009835
                      7,                 2.2188,                 1.9129,                  1.274,                0.26978,                0.24956,                0.17871,                0.05881,                 2.1965,                  10.05,                 1.3408,               0.009802,               0.009802,               0.009802
                      8,                 2.0656,                 1.7657,                 1.2234,                0.37609,                 0.2923,                0.25148,                0.10155,                 2.0934,                 3.9173,                 1.2607,               0.009769,               0.009769,               0.009769
                      9,                 1.9671,                 1.6515,                 1.1951,                0.45473,                0.34902,                0.31267,                0.13481,                 1.9836,                 2.4124,                 1.2402,               0.009736,               0.009736,               0.009736
                     10,                 1.8691,                 1.5603,                 1.1672,                0.55478,                0.33925,                0.35152,                 0.1737,                 1.8288,                 2.0419,                 1.1873,               0.009703,               0.009703,               0.009703
                     11,                 1.7833,                 1.4731,                 1.1437,                0.49565,                0.35346,                0.35609,                 0.1669,                   1.79,                 2.0423,                 1.1542,                0.00967,                0.00967,                0.00967
                     12,                 1.7515,                 1.4419,                 1.1261,                 0.4683,                0.29574,                0.27825,                0.13304,                 1.9947,                 1.9482,                 1.2377,               0.009637,               0.009637,               0.009637
                     13,                 1.6887,                 1.3653,                 1.1088,                0.51237,                0.33481,                0.32122,                 0.1522,                 1.8634,                 2.0802,                 1.1844,               0.009604,               0.009604,               0.009604
                     14,                 1.6365,                 1.3013,                 1.0939,                0.54044,                 0.4325,                0.42308,                0.19361,                  1.791,                  1.639,                 1.1467,               0.009571,               0.009571,               0.009571
                     15,                  1.588,                 1.2507,                 1.0779,                0.63025,                0.42185,                0.45007,                0.24545,                 1.5931,                 1.4691,                 1.1058,               0.009538,               0.009538,               0.009538
                     16,                 1.5526,                 1.2292,                 1.0709,                0.52771,                0.33393,                 0.3418,                0.14803,                 2.0432,                 1.7937,                 1.1523,               0.009505,               0.009505,               0.009505
                     17,                 1.5333,                 1.2098,                 1.0673,                0.64833,                0.46092,                0.47499,                 0.2457,                 1.5907,                 1.3694,                 1.0916,               0.009472,               0.009472,               0.009472
                     18,                 1.4746,                  1.133,                 1.0513,                0.62659,                0.46625,                0.47194,                0.25499,                 1.5794,                 1.4056,                 1.0757,               0.009439,               0.009439,               0.009439
                     19,                 1.4453,                 1.1078,                 1.0412,                0.67752,                0.42185,                0.45742,                0.24394,                 1.5734,                 1.3984,                 1.0796,               0.009406,               0.009406,               0.009406
                     20,                 1.4333,                 1.0772,                 1.0382,                0.53431,                0.45471,                0.42448,                0.22316,                 1.6224,                 1.6804,                 1.1329,               0.009373,               0.009373,               0.009373
                     21,                 1.4128,                 1.0589,                 1.0352,                0.60054,                0.42362,                0.43555,                0.23613,                 1.5833,                 1.4563,                 1.1106,                0.00934,                0.00934,                0.00934
                     22,                 1.3975,                 1.0342,                 1.0279,                0.59436,                0.43694,                0.44989,                0.23919,                  1.606,                 1.6273,                 1.1125,               0.009307,               0.009307,               0.009307
                     23,                 1.3365,                0.99201,                 1.0121,                0.66009,                 0.4556,                0.48934,                0.25141,                 1.6346,                  1.376,                 1.1105,               0.009274,               0.009274,               0.009274
                     24,                 1.3044,                0.94795,                 1.0024,                 0.6826,                0.47869,                0.52107,                0.29911,                 1.4397,                 1.2662,                 1.0438,               0.009241,               0.009241,               0.009241
                     25,                 1.2721,                0.92839,                0.99182,                0.61829,                0.49486,                0.50311,                0.29219,                 1.4352,                 1.2518,                 1.0468,               0.009208,               0.009208,               0.009208
                     26,                 1.2393,                0.90104,                0.98668,                0.65438,                0.47602,                0.49617,                0.27987,                 1.4754,                 1.3244,                 1.0696,               0.009175,               0.009175,               0.009175
                     27,                 1.2467,                0.89495,                0.98312,                0.64772,                0.47336,                0.49767,                0.26974,                 1.5639,                 1.3178,                 1.0929,               0.009142,               0.009142,               0.009142
                     28,                 1.2127,                0.86875,                0.97892,                0.68337,                0.48401,                0.52564,                 0.3043,                 1.4896,                  1.245,                 1.0802,               0.009109,               0.009109,               0.009109
                     29,                 1.2003,                0.85161,                0.96984,                 0.6659,                  0.485,                0.52475,                0.29454,                 1.5033,                 1.3082,                 1.0776,               0.009076,               0.009076,               0.009076
                     30,                 1.1611,                0.82303,                0.96137,                0.71722,                0.46625,                0.53229,                0.28991,                 1.5597,                 1.2023,                 1.1065,               0.009043,               0.009043,               0.009043
                     31,                 1.1567,                0.82081,                 0.9623,                0.66953,                0.49201,                 0.5229,                0.28732,                 1.5163,                 1.2595,                 1.0806,                0.00901,                0.00901,                0.00901
                     32,                 1.1238,                0.79841,                 0.9562,                0.67644,                0.50533,                 0.5455,                0.32261,                 1.4186,                 1.1956,                 1.0606,               0.008977,               0.008977,               0.008977
                     33,                 1.1168,                0.78823,                0.95619,                0.74657,                0.49911,                0.55503,                0.31942,                 1.4718,                 1.1489,                 1.0806,               0.008944,               0.008944,               0.008944
                     34,                 1.1306,                0.77575,                0.95105,                 0.6971,                0.52043,                0.55439,                0.29671,                 1.5208,                 1.2285,                 1.0922,               0.008911,               0.008911,               0.008911
                     35,                 1.0873,                0.74883,                0.93741,                0.64926,                0.53908,                0.54229,                0.28569,                 1.5485,                 1.2173,                 1.0954,               0.008878,               0.008878,               0.008878
                     36,                 1.0738,                0.73609,                0.93486,                0.69501,                0.49023,                0.53661,                0.30572,                 1.4481,                 1.2586,                 1.0739,               0.008845,               0.008845,               0.008845
                     37,                 1.0673,                  0.735,                0.93714,                0.67022,                0.48579,                0.52082,                0.26475,                 1.6528,                 1.2835,                 1.1047,               0.008812,               0.008812,               0.008812
                     38,                 1.0549,                0.72103,                0.92946,                0.73643,                0.47691,                0.54533,                0.31914,                 1.3905,                 1.1716,                 1.0403,               0.008779,               0.008779,               0.008779
                     39,                 1.0356,                 0.6974,                0.92436,                0.70275,                 0.4849,                0.54409,                0.29025,                 1.4898,                 1.2226,                 1.0603,               0.008746,               0.008746,               0.008746
                     40,                 1.0244,                0.70114,                0.92303,                0.72959,                0.49645,                0.56248,                0.31629,                 1.4415,                 1.1801,                 1.0769,               0.008713,               0.008713,               0.008713
                     41,                 1.0236,                0.69071,                0.92241,                0.72165,                0.49822,                0.55742,                0.30313,                 1.5086,                 1.2422,                 1.0766,                0.00868,                0.00868,                0.00868
                     42,                 1.0031,                0.67425,                0.91839,                 0.7169,                0.51155,                0.56624,                0.32902,                 1.3783,                 1.1412,                 1.0473,               0.008647,               0.008647,               0.008647
                     43,                  0.984,                0.65169,                0.91259,                0.70649,                0.52487,                0.57127,                0.34116,                 1.3643,                 1.1258,                 1.0525,               0.008614,               0.008614,               0.008614
                     44,                0.98718,                0.65663,                0.91194,                0.71503,                0.48934,                0.55219,                0.31091,                  1.433,                 1.1742,                 1.0759,               0.008581,               0.008581,               0.008581
                     45,                0.97036,                0.65123,                0.91454,                0.67005,                0.48135,                0.51164,                0.29709,                 1.4463,                 1.3076,                 1.0729,               0.008548,               0.008548,               0.008548
                     46,                0.95873,                0.63718,                0.91091,                0.74916,                0.46948,                0.53382,                0.28795,                 1.5075,                 1.2205,                 1.0856,               0.008515,               0.008515,               0.008515
                     47,                0.95118,                0.63777,                0.90521,                 0.6738,                0.52664,                0.55843,                0.33648,                 1.3657,                 1.1779,                 1.0578,               0.008482,               0.008482,               0.008482
