                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4123,                 4.9899,                 4.1758,                0.00036,                0.03371,                0.00021,                  8e-05,                 4.4613,                 4.8644,                   4.14,             0.00065574,             0.00065574,             0.00065574
                      2,                 3.8196,                 4.3126,                 3.7825,                0.00032,                0.02697,                0.00019,                  7e-05,                 4.6358,                 4.8379,                 4.3548,              0.0012569,              0.0012569,              0.0012569
                      3,                 3.4195,                 3.8827,                 3.2452,                0.02789,                 0.0764,                0.00828,                0.00241,                 3.3822,                 9.7699,                 3.1394,              0.0017922,              0.0017922,              0.0017922
                      4,                 3.1101,                 3.4522,                 2.8563,                0.08582,                0.11236,                0.03717,                0.01411,                 3.0308,                 8.5147,                 2.8588,               0.001703,               0.001703,               0.001703
                      5,                 2.8166,                  3.173,                 2.6002,                0.15065,                0.17303,                0.08098,                0.02931,                 2.8394,                 3.9034,                 2.6181,               0.001604,               0.001604,               0.001604
                      6,                 2.5238,                 2.9463,                 2.3821,                0.19476,                0.08764,                0.04528,                0.01634,                 2.7264,                 3.7283,                 2.6547,               0.001505,               0.001505,               0.001505
                      7,                 2.4298,                 2.7383,                 2.3013,                0.47049,                0.21798,                0.22829,                0.08795,                 2.3961,                 3.0388,                 2.1722,               0.001406,               0.001406,               0.001406
                      8,                 2.2302,                 2.5341,                  2.104,                0.32114,                0.26517,                0.21714,                 0.0954,                 2.2112,                   2.59,                 2.0483,               0.001307,               0.001307,               0.001307
                      9,                 2.2001,                 2.4244,                  2.103,                0.45728,                0.30562,                0.29022,                0.12506,                 2.1134,                 2.4746,                 1.9846,               0.001208,               0.001208,               0.001208
                     10,                 2.1085,                  2.354,                  2.009,                0.43727,                0.30787,                0.29301,                0.14016,                 2.0789,                 2.3352,                 1.9601,               0.001109,               0.001109,               0.001109
                     11,                 1.9067,                 2.1959,                 1.9104,                 0.5239,                 0.3191,                0.34814,                0.17633,                  1.925,                 2.2446,                 1.8487,                0.00101,                0.00101,                0.00101
                     12,                 1.8456,                 2.0794,                 1.8659,                 0.4864,                0.35506,                0.34169,                0.18058,                 1.8335,                 2.1293,                 1.7897,               0.000911,               0.000911,               0.000911
                     13,                 1.7727,                 2.0177,                 1.8183,                0.56327,                0.37079,                0.39248,                0.20563,                 1.8601,                 2.0859,                 1.7725,               0.000812,               0.000812,               0.000812
                     14,                 1.7061,                 1.9199,                 1.7449,                0.62087,                0.39745,                0.43965,                0.23424,                  1.724,                 1.9957,                 1.6786,               0.000713,               0.000713,               0.000713
                     15,                  1.713,                 1.8536,                 1.7533,                0.43589,                0.38202,                 0.3503,                0.18584,                 1.7978,                 2.0571,                 1.7128,               0.000614,               0.000614,               0.000614
                     16,                 1.6805,                   1.83,                 1.7309,                0.63562,                0.37632,                0.43935,                0.24733,                  1.688,                 1.8824,                 1.6408,               0.000515,               0.000515,               0.000515
                     17,                 1.6376,                  1.799,                 1.6746,                0.56276,                    0.4,                0.43846,                0.24027,                 1.7304,                 1.9529,                 1.6588,               0.000416,               0.000416,               0.000416
                     18,                 1.6058,                 1.7382,                 1.6107,                0.63146,                0.42355,                0.47612,                0.26952,                 1.6509,                 1.8202,                 1.5871,               0.000317,               0.000317,               0.000317
                     19,                 1.5755,                 1.6957,                 1.6221,                0.61927,                0.42765,                0.45933,                0.26126,                 1.6376,                 1.8071,                 1.5893,               0.000218,               0.000218,               0.000218
                     20,                 1.5607,                 1.6733,                 1.5902,                0.61118,                0.45169,                0.48795,                 0.2755,                 1.6324,                 1.7712,                 1.5695,               0.000119,               0.000119,               0.000119
